iter	Passed	Remaining
414	3456	21530
415	3466	21530
416	3474	21523
417	3482	21510
418	3490	21501
419	3498	21490
420	3507	21487
421	3516	21480
422	3524	21474
423	3532	21464
424	3541	21456
425	3551	21456
426	3559	21451
427	3567	21438
428	3576	21432
429	3586	21435
430	3594	21425
431	3602	21415
432	3611	21408
433	3618	21394
434	3626	21380
435	3633	21366
436	3640	21354
437	3648	21343
438	3656	21329
439	3663	21316
440	3670	21301
441	3678	21289
442	3686	21275
443	3693	21261
444	3700	21248
445	3708	21239
446	3716	21224
447	3725	21219
448	3732	21205
449	3740	21198
450	3748	21187
451	3757	21179
452	3765	21171
453	3773	21159
454	3780	21144
455	3787	21132
456	3795	21120
457	3802	21106
458	3810	21095
459	3818	21084
460	3826	21074
461	3833	21059
462	3840	21045
463	3848	21034
464	3857	21028
465	3864	21015
466	3872	21004
467	3880	20995
468	3888	20986
469	3895	20971
470	3903	20961
471	3911	20947
472	3918	20937
473	3926	20924
474	3933	20911
475	3941	20899
476	3949	20888
477	3956	20875
478	3964	20863
479	3971	20851
480	3979	20841
481	3987	20830
482	3996	20824
483	4003	20811
484	4011	20801
485	4018	20786
486	4025	20772
487	4033	20761
488	4041	20751
489	4048	20739
490	4056	20731
491	4065	20724
492	4075	20725
493	4084	20718
494	4093	20717
495	4102	20711
496	4110	20702
497	4118	20691
498	4126	20683
499	4146	20730
500	4152	20715
501	4160	20704
502	4168	20692
503	4176	20681
504	4183	20671
505	4191	20659
506	4199	20648
507	4206	20635
508	4214	20623
509	4222	20616
510	4230	20604
511	4237	20591
512	4246	20584
513	4253	20571
514	4260	20558
515	4268	20546
516	4276	20537
517	4283	20523
518	4291	20514
519	4298	20502
520	4307	20497
521	4316	20490
522	4325	20484
523	4333	20476
524	4341	20466
525	4349	20455
526	4356	20442
527	4364	20432
528	4371	20421
529	4379	20411
530	4387	20401
531	4395	20392
532	4403	20381
533	4412	20375
534	4419	20362
535	4427	20353
536	4435	20342
537	4442	20331
538	4450	20320
539	4458	20309
540	4465	20296
541	4472	20284
542	4480	20272
543	4488	20262
544	4495	20252
545	4504	20243
546	4511	20232
547	4520	20227
548	4528	20217
549	4535	20203
550	4542	20190
551	4550	20182
552	4557	20168
553	4566	20162
554	4573	20149
555	4581	20137
556	4588	20126
557	4596	20115
558	4604	20105
559	4612	20099
560	4621	20091
561	4629	20082
562	4637	20074
563	4645	20064
564	4653	20054
565	4661	20044
566	4668	20033
567	4687	20070
568	4703	20094
569	4717	20109
570	4728	20112
571	4736	20106
572	4745	20099
573	4753	20088
574	4760	20075
575	4767	20063
576	4774	20049
577	4782	20038
578	4789	20027
579	4797	20017
580	4805	20007
581	4814	20002
582	4821	19989
583	4830	19982
584	4837	19970
585	4845	19962
586	4853	19951
587	4861	19941
588	4868	19930
589	4876	19918
590	4883	19907
591	4890	19893
592	4898	19884
593	4906	19875
594	4914	19866
595	4922	19855
596	4929	19843
597	4937	19831
598	4945	19822
599	4953	19813
600	4960	19801
601	4968	19791
602	4976	19780
603	4983	19768
604	4990	19757
605	4997	19744
606	5004	19730
607	5011	19717
608	5018	19705
609	5026	19693
610	5033	19681
611	5041	19671
612	5048	19660
613	5057	19653
614	5065	19643
615	5073	19633
616	5080	19622
617	5090	19618
618	5097	19608
619	5105	19597
620	5112	19587
621	5120	19575
622	5127	19564
623	5135	19554
624	5143	19544
625	5151	19535
626	5158	19525
627	5166	19514
628	5174	19505
629	5182	19495
630	5189	19484
631	5197	19473
632	5204	19462
633	5213	19454
634	5221	19447
635	5229	19437
636	5237	19428
637	5245	19419
638	5252	19408
639	5260	19397
640	5268	19390
641	5276	19381
642	5284	19372
643	5291	19360
644	5299	19349
645	5307	19339
646	5314	19329
647	5322	19318
648	5330	19308
649	5337	19298
650	5345	19287
651	5353	19277
652	5362	19272
653	5369	19262
654	5377	19251
655	5385	19242
656	5393	19233
657	5401	19224
658	5409	19217
659	5418	19209
660	5426	19201
661	5433	19190
662	5440	19178
663	5449	19170
664	5456	19160
665	5464	19150
666	5472	19140
667	5479	19127
668	5487	19118
669	5495	19110
670	5503	19101
671	5510	19090
672	5519	19083
673	5526	19073
674	5534	19064
675	5542	19055
676	5550	19046
677	5558	19035
678	5566	19026
679	5573	19016
680	5581	19005
681	5589	18997
682	5596	18987
683	5604	18976
684	5611	18965
685	5619	18954
686	5626	18944
687	5635	18937
688	5642	18926
689	5650	18916
690	5658	18907
691	5665	18897
692	5673	18885
693	5681	18877
694	5688	18866
695	5697	18859
696	5704	18848
697	5712	18838
698	5719	18827
699	5727	18818
700	5734	18807
701	5742	18798
702	5750	18788
703	5758	18780
704	5766	18770
705	5774	18763
706	5782	18752
707	5790	18744
708	5798	18737
709	5808	18733
710	5817	18728
711	5825	18720
712	5834	18713
713	5842	18704
714	5850	18697
715	5858	18689
716	5867	18682
717	5875	18674
718	5883	18664
719	5891	18655
720	5898	18645
721	5914	18661
722	5922	18651
723	5930	18644
724	5939	18636
725	5947	18628
726	5955	18618
727	5963	18610
728	5970	18600
729	5979	18592
730	5987	18585
731	5995	18574
732	6002	18563
733	6010	18555
734	6017	18543
735	6026	18537
736	6034	18528
737	6042	18521
738	6051	18514
739	6059	18506
740	6067	18495
741	6074	18485
742	6082	18476
743	6090	18466
744	6098	18457
745	6106	18449
746	6114	18442
747	6122	18432
748	6131	18427
749	6139	18418
750	6147	18410
751	6155	18400
752	6162	18390
753	6170	18380
754	6178	18372
755	6185	18361
756	6193	18352
757	6202	18346
758	6211	18339
759	6220	18335
760	6230	18331
761	6239	18326
762	6247	18317
763	6257	18314
764	6266	18307
765	6275	18300
766	6284	18295
767	6292	18286
768	6300	18280
769	6309	18272
770	6318	18268
771	6327	18262
772	6335	18251
773	6342	18241
774	6350	18231
775	6358	18222
776	6365	18212
777	6373	18203
778	6381	18193
779	6389	18185
780	6397	18176
781	6405	18167
782	6412	18157
783	6420	18147
784	6427	18137
785	6435	18127
786	6442	18116
787	6450	18107
788	6458	18099
789	6467	18091
790	6474	18082
791	6483	18076
792	6492	18068
793	6500	18060
794	6508	18051
795	6516	18044
796	6524	18035
797	6532	18026
798	6540	18016
799	6547	18005
800	6555	17997
801	6562	17986
802	6570	17976
803	6578	17967
804	6586	17959
805	6594	17951
806	6602	17941
807	6610	17933
808	6618	17923
809	6625	17913
810	6633	17904
811	6641	17896
812	6649	17887
813	6657	17878
814	6664	17867
815	6671	17856
816	6679	17847
817	6687	17837
818	6695	17830
819	6703	17821
820	6710	17811
821	6718	17802
822	6726	17793
823	6734	17784
824	6742	17774
825	6749	17764
826	6756	17754
827	6765	17746
828	6773	17737
829	6780	17728
830	6788	17719
831	6797	17712
832	6806	17706
833	6814	17697
834	6822	17688
835	6830	17680
836	6838	17671
837	6846	17663
838	6854	17655
839	6862	17645
840	6871	17639
841	6879	17631
842	6887	17622
843	6894	17612
844	6902	17603
845	6909	17593
846	6917	17583
847	6925	17574
848	6932	17564
849	6940	17555
850	6947	17545
851	6955	17536
852	6963	17528
853	6972	17520
854	6980	17512
855	6988	17504
856	6996	17496
857	7004	17486
858	7013	17480
859	7021	17473
860	7029	17464
861	7037	17455
862	7045	17445
863	7053	17437
864	7061	17428
865	7069	17419
866	7076	17409
867	7084	17400
868	7091	17390
869	7099	17381
870	7107	17372
871	7115	17363
872	7122	17354
873	7130	17345
874	7138	17335
875	7146	17326
876	7152	17315
877	7160	17305
878	7167	17295
879	7175	17286
880	7183	17276
881	7190	17267
882	7198	17259
883	7206	17251
884	7215	17243
885	7223	17235
886	7231	17225
887	7239	17217
888	7247	17209
889	7255	17200
890	7262	17191
891	7270	17182
892	7278	17173
893	7287	17166
894	7295	17158
895	7302	17148
896	7311	17141
897	7319	17132
898	7327	17124
899	7335	17115
900	7343	17108
901	7351	17099
902	7359	17091
903	7367	17081
904	7374	17072
905	7383	17064
906	7391	17057
907	7399	17048
908	7408	17042
909	7417	17034
910	7425	17026
911	7433	17019
912	7441	17010
913	7449	17001
914	7457	16993
915	7465	16985
916	7473	16976
917	7481	16968
918	7489	16960
919	7498	16953
920	7506	16945
921	7514	16937
922	7522	16927
923	7530	16919
924	7538	16911
925	7547	16903
926	7554	16893
927	7562	16886
928	7570	16876
929	7577	16866
930	7586	16859
931	7594	16851
932	7602	16841
933	7610	16834
934	7618	16826
935	7626	16817
936	7634	16809
937	7642	16800
938	7651	16793
939	7658	16784
940	7666	16775
941	7674	16766
942	7683	16760
943	7691	16752
944	7700	16744
945	7708	16736
946	7715	16727
947	7723	16718
948	7732	16711
949	7740	16704
950	7749	16696
951	7757	16688
952	7766	16681
953	7774	16673
954	7783	16667
955	7792	16661
956	7801	16653
957	7809	16645
958	7819	16641
959	7827	16632
960	7834	16623
961	7842	16615
962	7850	16605
963	7858	16597
964	7866	16588
965	7873	16579
966	7881	16569
967	7888	16560
968	7896	16551
969	7904	16542
970	7936	16584
971	7954	16596
972	7971	16606
973	7981	16602
974	7990	16596
975	7998	16586
976	8005	16577
977	8013	16568
978	8021	16559
979	8029	16550
980	8036	16540
981	8044	16531
982	8052	16522
983	8059	16512
984	8067	16503
985	8074	16493
986	8082	16483
987	8089	16474
988	8098	16466
989	8105	16456
990	8113	16447
991	8120	16437
992	8129	16430
993	8137	16421
994	8144	16412
995	8152	16403
996	8160	16394
997	8167	16385
998	8175	16375
999	8182	16365
1000	8190	16357
1001	8198	16347
1002	8206	16338
1003	8214	16329
1004	8222	16321
1005	8229	16311
1006	8236	16302
1007	8244	16292
1008	8252	16283
1009	8259	16273
1010	8267	16264
1011	8274	16255
