iter	RMSE
0	0.1405176761
1	0.1391923437
2	0.1379173285
3	0.1366390396
4	0.1353655868
5	0.1340880841
6	0.1328667556
7	0.1316076473
8	0.1304022502
9	0.1291918336
10	0.1279940733
11	0.1267959339
12	0.1256169059
13	0.1244622304
14	0.1232988808
15	0.1221300109
16	0.1209884312
17	0.119861397
18	0.1187852632
19	0.1176754733
20	0.1165671176
21	0.1155040985
22	0.1144491849
23	0.1133697036
24	0.1123339924
25	0.11127975
26	0.1102819762
27	0.1092488023
28	0.1082250311
29	0.1072193065
30	0.1062129908
31	0.105224578
32	0.1043039737
33	0.1033332227
34	0.102380331
35	0.1014224249
36	0.1004998489
37	0.09960605195
38	0.09867168993
39	0.09775542886
40	0.09683153774
41	0.09593436529
42	0.09506257499
43	0.09421348131
44	0.09332895624
45	0.09248031185
46	0.09161130479
47	0.09077317667
48	0.08992236124
49	0.08911384417
50	0.08830778714
51	0.08749462284
52	0.08670783669
53	0.08590337219
54	0.08510987664
55	0.08430937623
56	0.08351530627
57	0.08275077101
58	0.0819736426
59	0.08122707994
60	0.08047312415
61	0.07971346109
62	0.07896765997
63	0.078251248
64	0.0775176197
65	0.07681643241
66	0.07609649125
67	0.07539073996
68	0.07469909604
69	0.07400565942
70	0.07332603912
71	0.07264429149
72	0.07199581904
73	0.07136395451
74	0.07071294158
75	0.07006918009
76	0.06942222935
77	0.0688205382
78	0.06821103892
79	0.06758057325
80	0.06697380406
81	0.06638806727
82	0.06579429179
83	0.06519312931
84	0.06461882831
85	0.0640171429
86	0.06341396738
87	0.0628306333
88	0.06225934924
89	0.06169747839
90	0.06113955086
91	0.06060855582
92	0.06007479479
93	0.0595231369
94	0.05897708858
95	0.05843351472
96	0.05790661384
97	0.05740409986
98	0.05687226705
99	0.05638301348
100	0.0558639675
101	0.05536508788
102	0.0548505798
103	0.05435027798
104	0.0538516576
105	0.05335685495
106	0.05288737037
107	0.05239479728
108	0.05192836395
109	0.05147105404
110	0.05100394412
111	0.05053598698
112	0.05008414783
113	0.04962538448
114	0.04919902092
115	0.04875632233
116	0.04832503658
117	0.04789507759
118	0.04747460459
119	0.04704964957
120	0.04662471243
121	0.04622597109
122	0.04581578434
123	0.04540980377
124	0.04498782062
125	0.04457852134
126	0.04417307544
127	0.04377079986
128	0.04339898613
129	0.04300334376
130	0.04261543966
131	0.04224332313
132	0.04187489657
133	0.04150280156
134	0.04113870831
135	0.04076817094
136	0.04040061733
137	0.040038123
138	0.03968639741
139	0.03933653644
140	0.0389900019
141	0.03863673451
142	0.03829497244
143	0.03795677475
144	0.03762964168
145	0.03729589864
146	0.03700440176
147	0.03668039806
148	0.03634736991
149	0.03602116036
150	0.03570203921
151	0.03539040594
152	0.03506848709
